id,title,description,link,image_link,additional_image_link,availability,price,sale_price,condition,brand,gtin,mpn,identifier_exists,google_product_category,product_type,category,shipping,shipping_weight,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
29mm-sliding-7x7-nomesh,29mm Premium Sliding Window 7×7 ft Without Mesh · 8mm Clear Tuff | Woodenmax,Premium series · Without mesh · 8mm clear tuff · Standard powder coat. Live package rate from WoodenMax calculator. GST 18% extra. Hyderabad factory. India-wide supply. Configure custom sizes on product page.,https://woodenmax.in/products/aluminium-windows/aluminium-sliding-window,https://woodenmax.in/images/products/Window%20Price%20Per%20Sqft/sliding-window-price-range-india-1200.webp,,in stock,51359.00 INR,,new,Woodenmax,,,no,Hardware > Building Materials,Home & Garden > aluminium-windows,aluminium-windows,IN::Standard:0.00 INR,,aluminium-windows,luxury,package,standard-size-package,2026
29mm-sliding-7x7-mesh,29mm Premium Sliding Window 7×7 ft With Mesh · 8mm Clear Tuff | Woodenmax,Premium series · With mesh · 8mm clear tuff · Standard powder coat. Live package rate from WoodenMax calculator. GST 18% extra. Hyderabad factory. India-wide supply. Configure custom sizes on product page.,https://woodenmax.in/products/aluminium-windows/aluminium-sliding-window,https://woodenmax.in/images/products/Window%20Price%20Per%20Sqft/sliding-window-price-range-india-1200.webp,,in stock,58204.00 INR,,new,Woodenmax,,,no,Hardware > Building Materials,Home & Garden > aluminium-windows,aluminium-windows,IN::Standard:0.00 INR,,aluminium-windows,luxury,package,standard-size-package,2026
29mm-sliding-8x8-nomesh,29mm Premium Sliding Window 8×8 ft Without Mesh · 8mm Clear Tuff | Woodenmax,Premium series · Without mesh · 8mm clear tuff · Standard powder coat. Live package rate from WoodenMax calculator. GST 18% extra. Hyderabad factory. India-wide supply. Configure custom sizes on product page.,https://woodenmax.in/products/aluminium-windows/aluminium-sliding-window,https://woodenmax.in/images/products/Window%20Price%20Per%20Sqft/sliding-window-price-range-india-1200.webp,,in stock,66226.00 INR,,new,Woodenmax,,,no,Hardware > Building Materials,Home & Garden > aluminium-windows,aluminium-windows,IN::Standard:0.00 INR,,aluminium-windows,luxury,package,standard-size-package,2026
29mm-sliding-8x8-mesh,29mm Premium Sliding Window 8×8 ft With Mesh · 8mm Clear Tuff | Woodenmax,Premium series · With mesh · 8mm clear tuff · Standard powder coat. Live package rate from WoodenMax calculator. GST 18% extra. Hyderabad factory. India-wide supply. Configure custom sizes on product page.,https://woodenmax.in/products/aluminium-windows/aluminium-sliding-window,https://woodenmax.in/images/products/Window%20Price%20Per%20Sqft/sliding-window-price-range-india-1200.webp,,in stock,75166.00 INR,,new,Woodenmax,,,no,Hardware > Building Materials,Home & Garden > aluminium-windows,aluminium-windows,IN::Standard:0.00 INR,,aluminium-windows,luxury,package,standard-size-package,2026
29mm-sliding-6x8-nomesh,29mm Premium Sliding Window 6×8 ft Without Mesh · 8mm Clear Tuff | Woodenmax,Premium series · Without mesh · 8mm clear tuff · Standard powder coat. Live package rate from WoodenMax calculator. GST 18% extra. Hyderabad factory. India-wide supply. Configure custom sizes on product page.,https://woodenmax.in/products/aluminium-windows/aluminium-sliding-window,https://woodenmax.in/images/products/Window%20Price%20Per%20Sqft/sliding-window-price-range-india-1200.webp,,in stock,50368.00 INR,,new,Woodenmax,,,no,Hardware > Building Materials,Home & Garden > aluminium-windows,aluminium-windows,IN::Standard:0.00 INR,,aluminium-windows,luxury,package,standard-size-package,2026
29mm-sliding-6x8-mesh,29mm Premium Sliding Window 6×8 ft With Mesh · 8mm Clear Tuff | Woodenmax,Premium series · With mesh · 8mm clear tuff · Standard powder coat. Live package rate from WoodenMax calculator. GST 18% extra. Hyderabad factory. India-wide supply. Configure custom sizes on product page.,https://woodenmax.in/products/aluminium-windows/aluminium-sliding-window,https://woodenmax.in/images/products/Window%20Price%20Per%20Sqft/sliding-window-price-range-india-1200.webp,,in stock,57074.00 INR,,new,Woodenmax,,,no,Hardware > Building Materials,Home & Garden > aluminium-windows,aluminium-windows,IN::Standard:0.00 INR,,aluminium-windows,luxury,package,standard-size-package,2026
29mm-sliding-10x8-nomesh,29mm Premium Sliding Window 10×8 ft Without Mesh · 8mm Clear Tuff | Woodenmax,Premium series · Without mesh · 8mm clear tuff · Standard powder coat. Live package rate from WoodenMax calculator. GST 18% extra. Hyderabad factory. India-wide supply. Configure custom sizes on product page.,https://woodenmax.in/products/aluminium-windows/aluminium-sliding-window,https://woodenmax.in/images/products/Window%20Price%20Per%20Sqft/sliding-window-price-range-india-1200.webp,,in stock,82083.00 INR,,new,Woodenmax,,,no,Hardware > Building Materials,Home & Garden > aluminium-windows,aluminium-windows,IN::Standard:0.00 INR,,aluminium-windows,luxury,package,standard-size-package,2026
29mm-sliding-10x8-mesh,29mm Premium Sliding Window 10×8 ft With Mesh · 8mm Clear Tuff | Woodenmax,Premium series · With mesh · 8mm clear tuff · Standard powder coat. Live package rate from WoodenMax calculator. GST 18% extra. Hyderabad factory. India-wide supply. Configure custom sizes on product page.,https://woodenmax.in/products/aluminium-windows/aluminium-sliding-window,https://woodenmax.in/images/products/Window%20Price%20Per%20Sqft/sliding-window-price-range-india-1200.webp,,in stock,93259.00 INR,,new,Woodenmax,,,no,Hardware > Building Materials,Home & Garden > aluminium-windows,aluminium-windows,IN::Standard:0.00 INR,,aluminium-windows,luxury,package,standard-size-package,2026
29mm-sliding-12x8-nomesh,29mm Premium Sliding Window 12×8 ft Without Mesh · 8mm Clear Tuff | Woodenmax,Premium series · Without mesh · 8mm clear tuff · Standard powder coat. Live package rate from WoodenMax calculator. GST 18% extra. Hyderabad factory. India-wide supply. Configure custom sizes on product page.,https://woodenmax.in/products/aluminium-windows/aluminium-sliding-window,https://woodenmax.in/images/products/Window%20Price%20Per%20Sqft/sliding-window-price-range-india-1200.webp,,in stock,97941.00 INR,,new,Woodenmax,,,no,Hardware > Building Materials,Home & Garden > aluminium-windows,aluminium-windows,IN::Standard:0.00 INR,,aluminium-windows,luxury,package,standard-size-package,2026
29mm-sliding-12x8-mesh,29mm Premium Sliding Window 12×8 ft With Mesh · 8mm Clear Tuff | Woodenmax,Premium series · With mesh · 8mm clear tuff · Standard powder coat. Live package rate from WoodenMax calculator. GST 18% extra. Hyderabad factory. India-wide supply. Configure custom sizes on product page.,https://woodenmax.in/products/aluminium-windows/aluminium-sliding-window,https://woodenmax.in/images/products/Window%20Price%20Per%20Sqft/sliding-window-price-range-india-1200.webp,,in stock,111352.00 INR,,new,Woodenmax,,,no,Hardware > Building Materials,Home & Garden > aluminium-windows,aluminium-windows,IN::Standard:0.00 INR,,aluminium-windows,luxury,package,standard-size-package,2026
system-sliding-30mm-7x7-nomesh,30mm System Sliding Sliding Window 7×7 ft Without Mesh · 8mm Clear Tuff | Woodenmax,Premium series · Without mesh · 8mm clear tuff · Standard powder coat. Live package rate from WoodenMax calculator. GST 18% extra. Hyderabad factory. India-wide supply. Configure custom sizes on product page.,https://woodenmax.in/products/aluminium-windows/aluminium-system-window-price,https://woodenmax.in/images/products/Window%20Price%20Per%20Sqft/sliding-window-price-range-india-1200.webp,,in stock,48920.00 INR,,new,Woodenmax,,,no,Hardware > Building Materials,Home & Garden > aluminium-windows,aluminium-windows,IN::Standard:0.00 INR,,aluminium-windows,luxury,package,standard-size-package,2026
system-sliding-30mm-7x7-mesh,30mm System Sliding Sliding Window 7×7 ft With Mesh · 8mm Clear Tuff | Woodenmax,Premium series · With mesh · 8mm clear tuff · Standard powder coat. Live package rate from WoodenMax calculator. GST 18% extra. Hyderabad factory. India-wide supply. Configure custom sizes on product page.,https://woodenmax.in/products/aluminium-windows/aluminium-system-window-price,https://woodenmax.in/images/products/Window%20Price%20Per%20Sqft/sliding-window-price-range-india-1200.webp,,in stock,55766.00 INR,,new,Woodenmax,,,no,Hardware > Building Materials,Home & Garden > aluminium-windows,aluminium-windows,IN::Standard:0.00 INR,,aluminium-windows,luxury,package,standard-size-package,2026
system-sliding-30mm-8x8-nomesh,30mm System Sliding Sliding Window 8×8 ft Without Mesh · 8mm Clear Tuff | Woodenmax,Premium series · Without mesh · 8mm clear tuff · Standard powder coat. Live package rate from WoodenMax calculator. GST 18% extra. Hyderabad factory. India-wide supply. Configure custom sizes on product page.,https://woodenmax.in/products/aluminium-windows/aluminium-system-window-price,https://woodenmax.in/images/products/Window%20Price%20Per%20Sqft/sliding-window-price-range-india-1200.webp,,in stock,63061.00 INR,,new,Woodenmax,,,no,Hardware > Building Materials,Home & Garden > aluminium-windows,aluminium-windows,IN::Standard:0.00 INR,,aluminium-windows,luxury,package,standard-size-package,2026
system-sliding-30mm-8x8-mesh,30mm System Sliding Sliding Window 8×8 ft With Mesh · 8mm Clear Tuff | Woodenmax,Premium series · With mesh · 8mm clear tuff · Standard powder coat. Live package rate from WoodenMax calculator. GST 18% extra. Hyderabad factory. India-wide supply. Configure custom sizes on product page.,https://woodenmax.in/products/aluminium-windows/aluminium-system-window-price,https://woodenmax.in/images/products/Window%20Price%20Per%20Sqft/sliding-window-price-range-india-1200.webp,,in stock,72002.00 INR,,new,Woodenmax,,,no,Hardware > Building Materials,Home & Garden > aluminium-windows,aluminium-windows,IN::Standard:0.00 INR,,aluminium-windows,luxury,package,standard-size-package,2026
system-sliding-30mm-6x8-nomesh,30mm System Sliding Sliding Window 6×8 ft Without Mesh · 8mm Clear Tuff | Woodenmax,Premium series · Without mesh · 8mm clear tuff · Standard powder coat. Live package rate from WoodenMax calculator. GST 18% extra. Hyderabad factory. India-wide supply. Configure custom sizes on product page.,https://woodenmax.in/products/aluminium-windows/aluminium-system-window-price,https://woodenmax.in/images/products/Window%20Price%20Per%20Sqft/sliding-window-price-range-india-1200.webp,,in stock,47978.00 INR,,new,Woodenmax,,,no,Hardware > Building Materials,Home & Garden > aluminium-windows,aluminium-windows,IN::Standard:0.00 INR,,aluminium-windows,luxury,package,standard-size-package,2026
system-sliding-30mm-6x8-mesh,30mm System Sliding Sliding Window 6×8 ft With Mesh · 8mm Clear Tuff | Woodenmax,Premium series · With mesh · 8mm clear tuff · Standard powder coat. Live package rate from WoodenMax calculator. GST 18% extra. Hyderabad factory. India-wide supply. Configure custom sizes on product page.,https://woodenmax.in/products/aluminium-windows/aluminium-system-window-price,https://woodenmax.in/images/products/Window%20Price%20Per%20Sqft/sliding-window-price-range-india-1200.webp,,in stock,54683.00 INR,,new,Woodenmax,,,no,Hardware > Building Materials,Home & Garden > aluminium-windows,aluminium-windows,IN::Standard:0.00 INR,,aluminium-windows,luxury,package,standard-size-package,2026
system-sliding-30mm-10x8-nomesh,30mm System Sliding Sliding Window 10×8 ft Without Mesh · 8mm Clear Tuff | Woodenmax,Premium series · Without mesh · 8mm clear tuff · Standard powder coat. Live package rate from WoodenMax calculator. GST 18% extra. Hyderabad factory. India-wide supply. Configure custom sizes on product page.,https://woodenmax.in/products/aluminium-windows/aluminium-system-window-price,https://woodenmax.in/images/products/Window%20Price%20Per%20Sqft/sliding-window-price-range-india-1200.webp,,in stock,78144.00 INR,,new,Woodenmax,,,no,Hardware > Building Materials,Home & Garden > aluminium-windows,aluminium-windows,IN::Standard:0.00 INR,,aluminium-windows,luxury,package,standard-size-package,2026
system-sliding-30mm-10x8-mesh,30mm System Sliding Sliding Window 10×8 ft With Mesh · 8mm Clear Tuff | Woodenmax,Premium series · With mesh · 8mm clear tuff · Standard powder coat. Live package rate from WoodenMax calculator. GST 18% extra. Hyderabad factory. India-wide supply. Configure custom sizes on product page.,https://woodenmax.in/products/aluminium-windows/aluminium-system-window-price,https://woodenmax.in/images/products/Window%20Price%20Per%20Sqft/sliding-window-price-range-india-1200.webp,,in stock,89320.00 INR,,new,Woodenmax,,,no,Hardware > Building Materials,Home & Garden > aluminium-windows,aluminium-windows,IN::Standard:0.00 INR,,aluminium-windows,luxury,package,standard-size-package,2026
