# WebP SERP Image Audit
# Generated: 2026-06-10T20:08:55.766Z
# Total images: 282
# >=1200px: 84
# <1200px: 198

file	width	height	>=1200
images/Founder-Naseem.webp	1420	1776	YES
images/hero/architectural-louvers-slim-frame-windows-structure-glazing-hpl-exterior.webp	1200	890	YES
images/hero/hpl-acp-sheet-facade-calading.webp	1024	576	NO
images/hero/modern-elevation-louvers-slim-window-structure-glazing-hpl-cladding.webp	1080	810	NO
images/hero/premium-front-elevation-louvers-slim-glass-windows-hpl-facade-india.webp	1200	596	YES
images/hero/villa-front-elevation-louvers-slim-profile-glazing-hpl-premium-design.webp	1200	800	YES
images/products/2 Track Aluminium Window/2-track-aluminium-sliding-window-modern-home.webp	1024	1024	NO
images/products/2 Track Aluminium Window/2-track-window-frame-glass-detail.webp	1200	799	YES
images/products/2 Track Aluminium Window/budget-aluminium-window-2-track-design.webp	1200	1006	YES
images/products/2track hardwares pic/2track-sliding-window-inside.webp	600	800	NO
images/products/2track hardwares pic/Aluminium-sliding-window-outside.webp	600	800	NO
images/products/2track hardwares pic/handle-sliding-window.webp	600	680	NO
images/products/2track hardwares pic/mortise-window-lock.webp	600	800	NO
images/products/2track hardwares pic/touch-type-lock.webp	600	800	NO
images/products/2track hardwares pic/touch-type-window-lock.webp	600	800	NO
images/products/3track-sliding-window/inside-sliding-window-maximum-opning.webp	700	700	NO
images/products/3track-sliding-window/outside-sliding-window-with-mess.webp	600	522	NO
images/products/3track-sliding-window/small-luxury-type-sliding-window-lock.webp	600	800	NO
images/products/3track-sliding-window/touch-type-lock.webp	600	800	NO
images/products/3track-sliding-window/touch-type-window-lock.webp	600	800	NO
images/products/3track-sliding-window/tranding-sliding-window-handle-lock.webp	600	563	NO
images/products/4 Track Sliding Window/4-track-aluminium-sliding-window-wide-opening.webp	837	1280	NO
images/products/4 Track Sliding Window/4-track-window-design-living-room.webp	1200	795	YES
images/products/4 Track Sliding Window/multi-track-aluminium-window-system.webp	1200	800	YES
images/products/acp-sheets-pic/acp-elevation-cladding-aluminium-composite-panel-for-commercial-buildings.webp	600	400	NO
images/products/acp-sheets-pic/hotel-exterior-hpl-acp-cladding.webp	600	600	NO
images/products/acp-sheets-pic/hpl-exterior-cladding-premium-wood-finish.webp	600	400	NO
images/products/acp-sheets-pic/premium-hpl-acp-cladding-for-commercial-building.webp	600	400	NO
images/products/Aluminium System Window Price/aluminium-system-window-modern-design.webp	965	1280	NO
images/products/Aluminium System Window Price/system-window-frame-detail-premium.webp	720	1280	NO
images/products/aluminium-pergola/glass-pergola-manufacturer.webp	832	1248	NO
images/products/aluminium-pergola/luxury-wood-glass-roof-pergola-design.webp	1200	903	YES
images/products/aluminium-pergola/luxury-wooden-glass-terrace-pergola.webp	1200	1299	YES
images/products/aluminium-pergola/modern-outdoor-glass-structure.webp	1200	903	YES
